Score,Precision,Recall,F1-Score,Support
Score 1,0.30416068866571017,0.5421994884910486,0.3897058823529412,391
Score 2,0.6838422391857506,0.4688181421718273,0.55627425614489,2293
Score 3,0.4684854186265287,0.30514705882352944,0.3695732838589981,1632
Score 4,0.24186704384724186,0.8614609571788413,0.37769188293760353,397
Score 5,0.0,0.0,0.0,33
